0,1,00:02.01,00:02.01,2.5,2
1,2,00:09.25,00:07.24,2.5,2
2,3,00:11.92,00:02.67,2.5,2
3,4,00:20.35,00:08.43,2.5,2
4,5,00:23.52,00:03.17,2.5,2
5,6,00:33.52,00:10.00,2.5,2
6,7,00:36.69,00:03.17,2.5,2
7,8,00:48.08,00:11.39,2.5,2
8,9,00:52.12,00:04.04,2.5,2
9,10,00:58.85,00:06.73,2.5,2
10,11,01:07.01,00:08.16,2.5,2
11,12,01:11.96,00:04.95,2.5,2
12,13,01:30.79,00:18.83,2.5,2
13,14,01:37.86,00:07.07,2.5,2
14,15,02:06.17,00:28.31,2.5,2
15,16,02:20.32,00:14.15,2.5,2
16,17,02:59.27,00:38.95,2.5,2
17,18,03:38.76,00:39.49,2.5,2
18,19,06:38.36,02:59.60,2.5,2
19,1,00:07.14,00:07.14,2.5,3
20,2,00:10.64,00:03.50,2.5,3
21,3,00:16.09,00:05.45,2.5,3
22,5,00:23.68,00:07.59,2.5,3
23,6,00:30.15,00:06.47,2.5,3
24,7,00:37.96,00:07.81,2.5,3
25,8,00:46.14,00:08.18,2.5,3
26,9,00:55.51,00:09.37,2.5,3
27,10,01:06.63,00:11.12,2.5,3
28,11,01:15.26,00:08.63,2.5,3
29,12,01:31.77,00:16.51,2.5,3
30,13,01:45.98,00:14.21,2.5,3
31,14,02:03.57,00:17.59,2.5,3
32,15,02:36.75,00:33.18,2.5,3
33,16,03:14.86,00:38.11,2.5,3
34,17,04:36.85,01:21.99,2.5,3
35,1,00:02.87,00:02.87,2.5,4
36,2,00:06.01,00:03.14,2.5,4
37,3,00:09.52,00:03.51,2.5,4
38,4,00:12.84,00:03.32,2.5,4
39,5,00:16.47,00:03.63,2.5,4
40,6,00:19.69,00:03.22,2.5,4
41,7,00:25.19,00:05.50,2.5,4
42,8,00:27.34,00:02.15,2.5,4
43,9,00:34.02,00:06.68,2.5,4
44,10,00:36.48,00:02.46,2.5,4
45,11,00:44.07,00:07.59,2.5,4
46,12,00:55.76,00:11.69,2.5,4
47,13,00:58.86,00:03.10,2.5,4
48,14,01:06.92,00:08.06,2.5,4
49,15,01:13.72,00:06.80,2.5,4
50,16,01:20.30,00:06.58,2.5,4
51,17,01:32.37,00:12.07,2.5,4
52,18,01:38.04,00:05.67,2.5,4
53,19,01:55.16,00:17.12,2.5,4
54,20,02:01.83,00:06.67,2.5,4
55,21,02:27.24,00:25.41,2.5,4
56,22,02:34.58,00:07.34,2.5,4
57,23,03:19.56,00:44.98,2.5,4
58,24,03:36.72,00:17.16,2.5,4
59,1,00:02.07,00:02.07,2.5,5
60,2,00:07.76,00:05.69,2.5,5
61,3,00:10.32,00:02.56,2.5,5
62,4,00:15.44,00:05.12,2.5,5
63,5,00:18.21,00:02.77,2.5,5
64,6,00:24.72,00:06.51,2.5,5
65,7,00:27.21,00:02.49,2.5,5
66,8,00:34.41,00:07.20,2.5,5
67,9,00:37.40,00:02.99,2.5,5
68,10,00:45.84,00:08.44,2.5,5
69,11,00:49.63,00:03.79,2.5,5
70,12,00:59.01,00:09.38,2.5,5
71,13,01:03.03,00:04.02,2.5,5
72,14,01:15.35,00:12.32,2.5,5
73,15,01:20.52,00:05.17,2.5,5
74,16,01:36.08,00:15.56,2.5,5
75,17,01:42.91,00:06.83,2.5,5
76,18,02:02.07,00:19.16,2.5,5
77,19,02:14.26,00:12.19,2.5,5
78,20,02:40.09,00:25.83,2.5,5
79,21,02:59.34,00:19.25,2.5,5
80,22,03:58.90,00:59.56,2.5,5
81,23,04:29.54,00:30.64,2.5,5
82,1,00:02.60,00:02.60,3,2
83,2,00:06.79,00:04.19,3,2
84,3,00:09.51,00:02.72,3,2
85,4,00:15.23,00:05.72,3,2
86,5,00:18.01,00:02.78,3,2
87,6,00:23.61,00:05.60,3,2
88,7,00:27.30,00:03.69,3,2
89,8,00:33.36,00:06.06,3,2
90,9,00:37.80,00:04.44,3,2
91,10,00:44.43,00:06.63,3,2
92,11,00:48.79,00:04.36,3,2
93,12,00:58.20,00:09.41,3,2
94,13,01:03.68,00:05.48,3,2
95,14,01:12.87,00:09.19,3,2
96,15,01:19.27,00:06.40,3,2
97,16,01:32.72,00:13.45,3,2
98,17,01:41.75,00:09.03,3,2
99,18,02:09.17,00:27.42,3,2
100,19,02:35.91,00:26.74,3,2
101,20,02:57.60,00:21.69,3,2
102,21,03:35.19,00:37.59,3,2
103,22,04:50.27,01:15.08,3,2
104,1,00:04.13,00:04.13,3,3
105,2,00:06.13,00:02.00,3,3
106,3,00:11.07,00:04.94,3,3
107,4,00:12.66,00:01.59,3,3
108,5,00:18.26,00:05.60,3,3
109,6,00:20.49,00:02.23,3,3
110,7,00:25.84,00:05.35,3,3
111,8,00:28.50,00:02.66,3,3
112,9,00:34.53,00:06.03,3,3
113,10,00:37.08,00:02.55,3,3
114,11,00:44.05,00:06.97,3,3
115,12,00:46.86,00:02.81,3,3
116,13,00:55.52,00:08.66,3,3
117,14,00:58.33,00:02.81,3,3
118,15,01:08.06,00:09.73,3,3
119,16,01:11.65,00:03.59,3,3
120,17,01:23.34,00:11.69,3,3
121,18,01:27.39,00:04.05,3,3
122,19,01:42.41,00:15.02,3,3
123,20,01:46.95,00:04.54,3,3
124,21,02:07.16,00:20.21,3,3
125,22,02:13.32,00:06.16,3,3
126,23,02:41.50,00:28.18,3,3
127,24,02:54.73,00:13.23,3,3
128,25,03:45.91,00:51.18,3,3
129,26,04:07.26,00:21.35,3,3
130,1,00:03.80,00:03.80,3,4
131,2,00:05.38,00:01.58,3,4
132,3,00:09.41,00:04.03,3,4
133,4,00:10.99,00:01.58,3,4
134,5,00:15.26,00:04.27,3,4
135,6,00:17.31,00:02.05,3,4
136,7,00:22.31,00:05.00,3,4
137,8,00:24.25,00:01.94,3,4
138,9,00:29.02,00:04.77,3,4
139,10,00:32.04,00:03.02,3,4
140,11,00:36.44,00:04.40,3,4
141,12,00:39.44,00:03.00,3,4
142,13,00:45.76,00:06.32,3,4
143,14,00:48.05,00:02.29,3,4
144,15,00:54.91,00:06.86,3,4
145,16,00:57.53,00:02.62,3,4
146,17,01:06.91,00:09.38,3,4
147,18,01:08.80,00:01.89,3,4
148,19,01:18.87,00:10.07,3,4
149,20,01:22.12,00:03.25,3,4
150,21,01:34.18,00:12.06,3,4
151,22,01:38.70,00:04.52,3,4
152,23,01:53.78,00:15.08,3,4
153,24,02:00.20,00:06.42,3,4
154,25,02:17.94,00:17.74,3,4
155,26,02:26.23,00:08.29,3,4
156,27,02:53.33,00:27.10,3,4
157,28,03:11.16,00:17.83,3,4
158,29,03:52.57,00:41.41,3,4
159,30,04:36.61,00:44.04,3,4
160,1,00:03.47,00:03.47,3,5
161,2,00:05.75,00:02.28,3,5
162,3,00:08.85,00:03.10,3,5
163,4,00:11.50,00:02.65,3,5
164,5,00:14.90,00:03.40,3,5
165,6,00:17.61,00:02.71,3,5
166,7,00:20.86,00:03.25,3,5
167,8,00:24.17,00:03.31,3,5
168,9,00:28.98,00:04.81,3,5
169,10,00:30.73,00:01.75,3,5
170,11,00:36.68,00:05.95,3,5
171,12,00:44.95,00:08.27,3,5
172,13,00:48.50,00:03.55,3,5
173,14,00:53.43,00:04.93,3,5
174,15,00:59.04,00:05.61,3,5
175,16,01:03.86,00:04.82,3,5
176,17,01:11.43,00:07.57,3,5
177,18,01:15.73,00:04.30,3,5
178,19,01:25.61,00:09.88,3,5
179,20,01:29.02,00:03.41,3,5
180,21,01:41.92,00:12.90,3,5
181,22,01:45.73,00:03.81,3,5
182,23,01:59.85,00:14.12,3,5
183,24,02:09.45,00:09.60,3,5
184,25,02:24.57,00:15.12,3,5
185,26,02:41.26,00:16.69,3,5
186,27,03:03.43,00:22.17,3,5
187,28,03:33.07,00:29.64,3,5
188,29,04:07.51,00:34.44,3,5
189,30,06:12.80,02:05.29,3,5
190,1,00:02.41,00:02.41,3.5,2
191,2,00:06.81,00:04.40,3.5,2
192,3,00:09.75,00:02.94,3.5,2
193,4,00:14.37,00:04.62,3.5,2
194,5,00:17.95,00:03.58,3.5,2
195,6,00:22.95,00:05.00,3.5,2
196,7,00:26.90,00:03.95,3.5,2
197,8,00:32.70,00:05.80,3.5,2
198,9,00:37.34,00:04.64,3.5,2
199,10,00:43.57,00:06.23,3.5,2
200,11,00:48.52,00:04.95,3.5,2
201,12,00:56.66,00:08.14,3.5,2
202,13,01:00.24,00:03.58,3.5,2
203,14,01:12.45,00:12.21,3.5,2
204,15,01:16.46,00:04.01,3.5,2
205,16,01:31.24,00:14.78,3.5,2
206,17,01:37.34,00:06.10,3.5,2
207,18,01:52.58,00:15.24,3.5,2
208,19,02:04.70,00:12.12,3.5,2
209,20,02:29.31,00:24.61,3.5,2
210,21,02:48.22,00:18.91,3.5,2
211,22,03:28.08,00:39.86,3.5,2
212,23,04:08.57,00:40.49,3.5,2
213,1,00:02.08,00:02.08,3.5,3
214,2,00:06.15,00:04.07,3.5,3
215,3,00:08.72,00:02.57,3.5,3
216,4,00:11.82,00:03.10,3.5,3
217,5,00:15.49,00:03.67,3.5,3
218,6,00:18.90,00:03.41,3.5,3
219,7,00:22.18,00:03.28,3.5,3
220,8,00:26.54,00:04.36,3.5,3
221,9,00:29.83,00:03.29,3.5,3
222,10,00:34.84,00:05.01,3.5,3
223,11,00:38.94,00:04.10,3.5,3
224,12,00:44.19,00:05.25,3.5,3
225,13,00:47.51,00:03.32,3.5,3
226,14,00:53.67,00:06.16,3.5,3
227,15,00:59.65,00:05.98,3.5,3
228,16,01:05.43,00:05.78,3.5,3
229,17,01:10.87,00:05.44,3.5,3
230,18,01:20.18,00:09.31,3.5,3
231,19,01:24.98,00:04.80,3.5,3
232,20,01:37.19,00:12.21,3.5,3
233,21,01:44.89,00:07.70,3.5,3
234,22,01:58.11,00:13.22,3.5,3
235,23,02:06.45,00:08.34,3.5,3
236,24,02:28.58,00:22.13,3.5,3
237,25,02:36.95,00:08.37,3.5,3
238,26,03:12.95,00:36.00,3.5,3
239,27,03:37.47,00:24.52,3.5,3
240,28,04:27.05,00:49.58,3.5,3
241,1,00:02.08,00:02.08,3.5,4
242,2,00:05.04,00:02.96,3.5,4
243,3,00:07.01,00:01.97,3.5,4
244,4,00:11.41,00:04.40,3.5,4
245,5,00:12.91,00:01.50,3.5,4
246,6,00:17.74,00:04.83,3.5,4
247,7,00:19.01,00:01.27,3.5,4
248,8,00:24.16,00:05.15,3.5,4
249,9,00:25.73,00:01.57,3.5,4
250,10,00:31.25,00:05.52,3.5,4
251,11,00:32.86,00:01.61,3.5,4
252,12,00:39.62,00:06.76,3.5,4
253,13,00:41.74,00:02.12,3.5,4
254,14,00:48.14,00:06.40,3.5,4
255,15,00:50.72,00:02.58,3.5,4
256,16,00:58.30,00:07.58,3.5,4
257,17,01:01.22,00:02.92,3.5,4
258,18,01:10.27,00:09.05,3.5,4
259,19,01:13.12,00:02.85,3.5,4
260,20,01:23.39,00:10.27,3.5,4
261,21,01:26.76,00:03.37,3.5,4
262,22,01:39.23,00:12.47,3.5,4
263,23,01:44.61,00:05.38,3.5,4
264,24,01:59.04,00:14.43,3.5,4
265,25,02:07.84,00:08.80,3.5,4
266,26,02:22.53,00:14.69,3.5,4
267,27,02:38.06,00:15.53,3.5,4
268,28,03:00.71,00:22.65,3.5,4
269,29,03:25.98,00:25.27,3.5,4
270,30,04:02.83,00:36.85,3.5,4
271,31,04:50.83,00:48.00,3.5,4
272,1,00:03.08,00:03.08,3.5,5
273,2,00:05.57,00:02.49,3.5,5
274,3,00:08.79,00:03.22,3.5,5
275,4,00:11.16,00:02.37,3.5,5
276,5,00:14.09,00:02.93,3.5,5
277,6,00:18.22,00:04.13,3.5,5
278,7,00:20.58,00:02.36,3.5,5
279,8,00:24.81,00:04.23,3.5,5
280,9,00:27.77,00:02.96,3.5,5
281,10,00:32.21,00:04.44,3.5,5
282,11,00:35.64,00:03.43,3.5,5
283,12,00:39.56,00:03.92,3.5,5
284,13,00:44.55,00:04.99,3.5,5
285,14,00:48.28,00:03.73,3.5,5
286,15,00:54.94,00:06.66,3.5,5
287,16,00:58.97,00:04.03,3.5,5
288,17,01:05.71,00:06.74,3.5,5
289,18,01:10.66,00:04.95,3.5,5
290,19,01:18.33,00:07.67,3.5,5
291,20,01:24.37,00:06.04,3.5,5
292,21,01:33.88,00:09.51,3.5,5
293,22,01:40.71,00:06.83,3.5,5
294,23,01:51.54,00:10.83,3.5,5
295,24,02:00.54,00:09.00,3.5,5
296,25,02:16.00,00:15.46,3.5,5
297,26,02:28.98,00:12.98,3.5,5
298,27,02:49.36,00:20.38,3.5,5
299,29,03:39.32,00:49.96,3.5,5
300,1,00:02.34,00:02.34,4,2
301,2,00:08.18,00:05.84,4,2
302,3,00:12.42,00:04.24,4,2
303,4,00:17.71,00:05.29,4,2
304,5,00:22.88,00:05.17,4,2
305,6,00:29.79,00:06.91,4,2
306,7,00:35.73,00:05.94,4,2
307,8,00:43.34,00:07.61,4,2
308,9,00:51.54,00:08.20,4,2
309,10,01:00.99,00:09.45,4,2
310,11,01:10.80,00:09.81,4,2
311,12,01:18.77,00:07.97,4,2
312,13,01:37.12,00:18.35,4,2
313,14,01:45.26,00:08.14,4,2
314,15,02:13.27,00:28.01,4,2
315,16,02:25.33,00:12.06,4,2
316,17,03:15.49,00:50.16,4,2
317,18,03:51.63,00:36.14,4,2
318,1,00:02.54,00:02.54,4,3
319,2,00:07.09,00:04.55,4,3
320,3,00:09.91,00:02.82,4,3
321,4,00:14.31,00:04.40,4,3
322,5,00:18.36,00:04.05,4,3
323,6,00:22.76,00:04.40,4,3
324,7,00:26.72,00:03.96,4,3
325,8,00:30.81,00:04.09,4,3
326,9,00:37.86,00:07.05,4,3
327,10,00:42.36,00:04.50,4,3
328,11,00:49.64,00:07.28,4,3
329,12,00:54.48,00:04.84,4,3
330,13,01:02.93,00:08.45,4,3
331,14,01:08.94,00:06.01,4,3
332,15,01:18.11,00:09.17,4,3
333,16,01:24.89,00:06.78,4,3
334,17,01:39.95,00:15.06,4,3
335,18,01:45.44,00:05.49,4,3
336,19,02:09.02,00:23.58,4,3
337,20,02:18.36,00:09.34,4,3
338,21,02:45.35,00:26.99,4,3
339,22,03:07.27,00:21.92,4,3
340,23,03:39.00,00:31.73,4,3
341,24,05:10.06,01:31.06,4,3
342,1,00:05.52,00:05.52,4,4
343,2,00:07.38,00:01.86,4,4
344,3,00:11.47,00:04.09,4,4
345,4,00:12.72,00:01.25,4,4
346,5,00:18.42,00:05.70,4,4
347,6,00:19.88,00:01.46,4,4
348,7,00:25.58,00:05.70,4,4
349,8,00:27.09,00:01.51,4,4
350,9,00:33.48,00:06.39,4,4
351,10,00:34.61,00:01.13,4,4
352,11,00:42.12,00:07.51,4,4
353,12,00:44.51,00:02.39,4,4
354,13,00:51.32,00:06.81,4,4
355,14,00:55.27,00:03.95,4,4
356,15,01:01.88,00:06.61,4,4
357,16,01:06.48,00:04.60,4,4
358,17,01:12.87,00:06.39,4,4
359,18,01:22.57,00:09.70,4,4
360,19,01:29.24,00:06.67,4,4
361,20,01:35.12,00:05.88,4,4
362,21,01:49.33,00:14.21,4,4
363,22,01:57.87,00:08.54,4,4
364,23,02:12.98,00:15.11,4,4
365,24,02:24.20,00:11.22,4,4
366,25,02:50.35,00:26.15,4,4
367,26,03:05.70,00:15.35,4,4
368,27,03:50.56,00:44.86,4,4
369,28,04:24.67,00:34.11,4,4
370,1,00:03.08,00:03.08,4,5
371,2,00:06.49,00:03.41,4,5
372,3,00:09.89,00:03.40,4,5
373,4,00:13.56,00:03.67,4,5
374,5,00:17.46,00:03.90,4,5
375,6,00:20.78,00:03.32,4,5
376,7,00:26.08,00:05.30,4,5
377,8,00:29.08,00:03.00,4,5
378,9,00:35.76,00:06.68,4,5
379,10,00:37.74,00:01.98,4,5
380,11,00:46.07,00:08.33,4,5
381,12,00:48.65,00:02.58,4,5
382,13,00:58.64,00:09.99,4,5
383,14,01:00.82,00:02.18,4,5
384,15,01:12.21,00:11.39,4,5
385,16,01:15.31,00:03.10,4,5
386,17,01:28.86,00:13.55,4,5
387,18,01:32.75,00:03.89,4,5
388,19,01:49.93,00:17.18,4,5
389,20,01:55.02,00:05.09,4,5
390,21,02:17.42,00:22.40,4,5
391,22,02:26.68,00:09.26,4,5
392,23,03:00.29,00:33.61,4,5
393,24,03:16.41,00:16.12,4,5